,symbol,gpa,remarks
96,00100097W,2.55,COMPLETED
97,00100098X,3.1,COMPLETED
98,00100099Y,2.6,COMPLETED
99,00100100Z,2.5,COMPLETED
100,00100101A,2.95,COMPLETED
101,00100102B,2.85,COMPLETED
102,00100103C,2.9,COMPLETED
103,00100104D,3.05,COMPLETED
104,00100105E,2.6,COMPLETED
105,00100106F,2.65,COMPLETED
106,00100107G,2.55,COMPLETED
107,00100108H,2.5,COMPLETED
108,00100109I,2.9,COMPLETED
109,00100110J,2.7,COMPLETED
110,00100111K,3.75,COMPLETED
111,00100112L,2.5,COMPLETED
112,00100113M,3.1,COMPLETED
113,00100114N,2.9,COMPLETED
114,00100115O,2.5,COMPLETED
115,00100116P,2.5,COMPLETED
116,00100117Q,2.95,COMPLETED
117,00100118R,2.5,COMPLETED
118,00100119S,2.85,COMPLETED
119,00100120T,2.35,COMPLETED
120,00100121U,3.0,COMPLETED
121,00100122V,3.35,COMPLETED
122,00100123W,2.25,COMPLETED
123,00100124X,2.75,COMPLETED
124,00100125Y,3.4,COMPLETED
125,00100126Z,2.7,COMPLETED
126,00100127A,2.3,COMPLETED
127,00100128B,3.15,COMPLETED
128,00100129C,2.5,COMPLETED
129,00100130D,3.0,COMPLETED
130,00100131E,2.75,COMPLETED
131,00100132F,2.75,COMPLETED
132,00100133G,2.2,COMPLETED
133,00100134H,2.45,COMPLETED
134,00100135I,3.35,COMPLETED
135,00100136J,2.7,COMPLETED
136,00100137K,3.45,COMPLETED
137,00100138L,2.7,COMPLETED
138,00100139M,2.55,COMPLETED
139,00100140N,2.6,COMPLETED
140,00100141O,2.55,COMPLETED
141,00100142P,2.55,COMPLETED
142,00100143Q,2.55,COMPLETED
143,00100144R,2.7,COMPLETED
144,00100145S,2.6,COMPLETED
145,00100146T,2.55,COMPLETED
146,00100147U,2.6,COMPLETED
147,00100148V,2.55,COMPLETED
148,00100149W,2.55,COMPLETED
149,00100150X,3.4,COMPLETED
150,00100151Y,2.8,COMPLETED
151,00100152Z,2.9,COMPLETED
152,00100153A,2.6,COMPLETED
153,00100154B,2.7,COMPLETED
154,00100155C,3.55,COMPLETED
155,00100156D,2.65,COMPLETED
156,00100157E,2.45,COMPLETED
157,00100158F,2.85,COMPLETED
158,00100159G,3.5,COMPLETED
159,00100160H,2.65,COMPLETED
160,00100161I,2.3,COMPLETED
161,00100162J,2.35,COMPLETED
162,00100163K,2.9,COMPLETED
163,00100164L,2.7,COMPLETED
164,00100165M,2.4,COMPLETED
165,00100166N,2.8,COMPLETED
166,00100167O,2.75,COMPLETED
167,00100168P,2.55,COMPLETED
168,00100169Q,2.7,COMPLETED
169,00100170R,2.65,COMPLETED
170,00100171S,2.8,COMPLETED
171,00100172T,2.3,COMPLETED
172,00100173U,2.3,COMPLETED
173,00100174V,2.9,COMPLETED
174,00100175W,2.8,COMPLETED
175,00100176X,2.6,COMPLETED
176,00100177Y,3.6,COMPLETED
177,00100178Z,3.1,COMPLETED
178,00100179A,2.7,COMPLETED
179,00100180B,3.0,COMPLETED
180,00100181C,3.2,COMPLETED
181,00100182D,2.8,COMPLETED
182,00100183E,2.7,COMPLETED
183,00100184F,2.8,COMPLETED
184,00100185G,3.6,COMPLETED
185,00100186H,2.6,COMPLETED
186,00100187I,2.8,COMPLETED
187,00100188J,3.0,COMPLETED
188,00100189K,2.5,COMPLETED
189,00100190L,3.2,COMPLETED
190,00100191M,3.0,COMPLETED
191,00100192N,3.2,COMPLETED
192,00100193O,2.6,COMPLETED
193,00100194P,2.6,COMPLETED
194,00100195Q,2.8,COMPLETED
195,00100196R,2.7,COMPLETED
196,00100197S,3.6,COMPLETED
197,00100198T,2.6,COMPLETED
198,00100199U,3.7,COMPLETED
199,00100200V,2.7,COMPLETED
200,00100201W,2.75,COMPLETED
201,00100202X,3.4,COMPLETED
202,00100203Y,3.65,COMPLETED
203,00100204Z,3.75,COMPLETED
204,00100205A,2.7,COMPLETED
205,00100206B,2.7,COMPLETED
206,00100207C,2.65,COMPLETED
207,00100208D,2.7,COMPLETED
208,00100209E,3.6,COMPLETED
209,00100210F,4.0,COMPLETED
210,00100211G,2.9,COMPLETED
211,00100212H,2.7,COMPLETED
212,00100213I,2.75,COMPLETED
213,00100214J,3.0,COMPLETED
214,00100215K,3.1,COMPLETED
215,00100216L,3.1,COMPLETED
216,00100217M,2.75,COMPLETED
217,00100218N,2.85,COMPLETED
218,00100219O,3.0,COMPLETED
219,00100220P,2.7,COMPLETED
220,00100221Q,2.7,COMPLETED
221,00100222R,2.9,COMPLETED
222,00100223S,3.6,COMPLETED
223,00100224T,2.65,COMPLETED
224,00100225U,4.0,COMPLETED
225,00100226V,2.95,COMPLETED
226,00100227W,2.7,COMPLETED
227,00100228X,2.75,COMPLETED
228,00100229Y,2.65,COMPLETED
229,00100230Z,3.25,COMPLETED
230,00100231A,3.25,COMPLETED
231,00100232B,2.7,COMPLETED
232,00100233C,2.75,COMPLETED
233,00100234D,3.35,COMPLETED
234,00100235E,2.65,COMPLETED
235,00100236F,2.65,COMPLETED
236,00100237G,3.05,COMPLETED
237,00100238H,2.65,COMPLETED
238,00100239I,2.65,COMPLETED
239,00100240J,3.15,COMPLETED
240,00100241K,3.3,COMPLETED
241,00100242L,3.1,COMPLETED
242,00100243M,2.8,COMPLETED
243,00100244N,3.65,COMPLETED
244,00100245O,4.0,COMPLETED
245,00100246P,3.1,COMPLETED
246,00100247Q,3.6,COMPLETED
247,00100248R,2.65,COMPLETED
248,00100249S,2.65,COMPLETED
249,00100250T,3.1,COMPLETED
250,00100251U,2.65,COMPLETED
251,00100252V,2.9,COMPLETED
252,00100253W,2.65,COMPLETED
253,00100254X,3.25,COMPLETED
254,00100255Y,2.65,COMPLETED
255,00100256Z,3.85,COMPLETED
256,00100257A,2.65,COMPLETED
257,00100258B,3.25,COMPLETED
258,00100259C,2.65,COMPLETED
259,00100260D,2.85,COMPLETED
260,00100261E,2.75,COMPLETED
261,00100262F,2.7,COMPLETED
262,00100263G,2.8,COMPLETED
263,00100264H,2.9,COMPLETED
264,00100265I,3.3,COMPLETED
265,00100266J,3.55,COMPLETED
266,00100267K,2.85,COMPLETED
267,00100268L,2.8,COMPLETED
268,00100269M,3.5,COMPLETED
269,00100270N,3.45,COMPLETED
270,00100271O,2.95,COMPLETED
271,00100272P,3.3,COMPLETED
272,00100273Q,2.85,COMPLETED
273,00100274R,2.75,COMPLETED
274,00100275S,2.8,COMPLETED
275,00100276T,2.9,COMPLETED
276,00100277U,2.9,COMPLETED
277,00100278V,3.05,COMPLETED
278,00100279W,2.8,COMPLETED
279,00100280X,2.85,COMPLETED
280,00100281Y,2.85,COMPLETED
281,00100282Z,2.7,COMPLETED
282,00100283A,2.75,COMPLETED
283,00100284B,2.7,COMPLETED
284,00100285C,2.75,COMPLETED
285,00100286D,2.65,COMPLETED
286,00100287E,,ABSENT8
287,00100288F,3.25,COMPLETED
288,00100289G,2.9,COMPLETED
289,00100290H,2.85,COMPLETED
290,00100291I,2.3,COMPLETED
291,00100292J,2.45,COMPLETED
292,00100293K,2.75,COMPLETED
293,00100294L,2.35,COMPLETED
294,00100295M,2.15,COMPLETED
295,00100296N,2.4,COMPLETED
296,00100297O,2.2,COMPLETED
297,00100298P,2.1,COMPLETED
298,00100299Q,2.15,COMPLETED
299,00100300R,2.2,COMPLETED
300,00100301S,2.05,COMPLETED
301,00100302T,2.35,COMPLETED
302,00100303U,2.65,COMPLETED
303,00100304V,2.1,COMPLETED
304,00100305W,2.2,COMPLETED
305,00100306X,2.0,COMPLETED
306,00100307Y,2.1,COMPLETED
307,00100308Z,2.35,COMPLETED
308,00100309A,2.2,COMPLETED
309,00100310B,2.1,COMPLETED
310,00100311C,2.1,COMPLETED
311,00100312D,,ABSENT8
312,00100313E,,ABSENT8
313,00100314F,2.15,COMPLETED
314,00100315G,2.05,COMPLETED
315,00100316H,2.45,COMPLETED
316,00100317I,2.5,COMPLETED
317,00100318J,2.35,COMPLETED
318,00100319K,2.65,COMPLETED
319,00100320L,2.2,COMPLETED
320,00100321M,2.75,COMPLETED
321,00100322N,2.9,COMPLETED
322,00100323O,2.55,COMPLETED
323,00100324P,3.5,COMPLETED
324,00100325Q,2.55,COMPLETED
325,00100326R,2.85,COMPLETED
326,00100327S,2.15,COMPLETED
327,00100328T,2.15,COMPLETED
328,00100329U,2.5,COMPLETED
329,00100330V,2.45,COMPLETED
330,00100331W,2.3,COMPLETED
331,00100332X,2.15,COMPLETED
332,00100333Y,2.2,COMPLETED
333,00100334Z,2.05,COMPLETED
334,00100335A,2.1,COMPLETED
335,00100336B,2.35,COMPLETED
336,00100337C,2.7,COMPLETED
337,00100338D,,ABSENT8
338,00100339E,2.15,COMPLETED
339,00100340F,2.05,COMPLETED
340,00100341G,2.35,COMPLETED
341,00100342H,2.15,COMPLETED
342,00100343I,2.7,COMPLETED
343,00100344J,2.7,COMPLETED
344,00100345K,2.7,COMPLETED
345,00100346L,2.7,COMPLETED
346,00100347M,2.75,COMPLETED
347,00100348N,3.1,COMPLETED
348,00100349O,2.85,COMPLETED
349,00100350P,2.8,COMPLETED
350,00100351Q,2.8,COMPLETED
351,00100352R,2.95,COMPLETED
352,00100353S,2.95,COMPLETED
353,00100354T,2.75,COMPLETED
354,00100355U,2.9,COMPLETED
355,00100356V,2.9,COMPLETED
356,00100357W,2.9,COMPLETED
357,00100358X,2.85,COMPLETED
358,00100359Y,2.85,COMPLETED
359,00100360Z,2.95,COMPLETED
360,00100361A,2.85,COMPLETED
361,00100362B,2.8,COMPLETED
362,00100363C,2.8,COMPLETED
363,00100364D,2.9,COMPLETED
364,00100365E,2.7,COMPLETED
365,00100366F,3.1,COMPLETED
366,00100367G,3.1,COMPLETED
367,00100368H,2.35,COMPLETED
368,00100369I,2.35,COMPLETED
369,00100370J,2.15,COMPLETED
370,00100371K,2.85,COMPLETED
371,00100372L,2.5,COMPLETED
372,00100373M,3.05,COMPLETED
373,00100374N,2.75,COMPLETED
374,00100375O,2.35,COMPLETED
375,00100376P,2.15,COMPLETED
376,00100377Q,2.4,COMPLETED
377,00100378R,2.15,COMPLETED
378,00100379S,2.35,COMPLETED
379,00100380T,2.35,COMPLETED
380,00100381U,2.7,COMPLETED
381,00100382V,2.15,COMPLETED
382,00100383W,2.35,COMPLETED
383,00100384X,2.25,COMPLETED
384,00100385Y,2.15,COMPLETED
385,00100386Z,2.2,COMPLETED
386,00100387A,2.35,COMPLETED
387,00100388B,2.2,COMPLETED
388,00100389C,2.35,COMPLETED
389,00100390D,2.7,COMPLETED
390,00100391E,3.35,COMPLETED
391,00100392F,2.35,COMPLETED
392,00100393G,2.35,COMPLETED
393,00100394H,2.35,COMPLETED
394,00100395I,2.75,COMPLETED
395,00100396J,2.15,COMPLETED
396,00100397K,2.2,COMPLETED
397,00100398L,2.2,COMPLETED
398,00100399M,,ABSENT8
399,00100400N,2.2,COMPLETED
400,00100401O,2.75,COMPLETED
401,00100402P,2.9,COMPLETED
402,00100403Q,3.85,COMPLETED
403,00100404R,2.75,COMPLETED
404,00100405S,3.0,COMPLETED
405,00100406T,2.95,COMPLETED
406,00100407U,2.95,COMPLETED
407,00100408V,2.85,COMPLETED
408,00100409W,2.95,COMPLETED
409,00100410X,2.8,COMPLETED
410,00100411Y,3.15,COMPLETED
411,00100412Z,2.9,COMPLETED
412,00100413A,3.1,COMPLETED
413,00100414B,2.85,COMPLETED
414,00100415C,2.85,COMPLETED
415,00100416D,2.8,COMPLETED
416,00100417E,2.95,COMPLETED
417,00100418F,2.9,COMPLETED
418,00100419G,2.75,COMPLETED
419,00100420H,3.35,COMPLETED
420,00100421I,3.1,COMPLETED
421,00100422J,3.0,COMPLETED
422,00100423K,2.9,COMPLETED
423,00100424L,3.0,COMPLETED
424,00100425M,3.05,COMPLETED
425,00100426N,3.25,COMPLETED
426,00100427O,2.9,COMPLETED
427,00100428P,2.9,COMPLETED
428,00100429Q,3.0,COMPLETED
429,00100430R,3.0,COMPLETED
430,00100431S,3.4,COMPLETED
431,00100432T,3.0,COMPLETED
432,00100433U,2.95,COMPLETED
433,00100434V,2.95,COMPLETED
434,00100435W,3.3,COMPLETED
435,00100436X,3.05,COMPLETED
436,00100437Y,2.95,COMPLETED
437,00100438Z,2.95,COMPLETED
438,00100439A,2.9,COMPLETED
439,00100440B,3.1,COMPLETED
440,00100441C,2.95,COMPLETED
441,00100442D,3.15,COMPLETED
442,00100443E,2.9,COMPLETED
443,00100444F,3.2,COMPLETED
444,00100445G,2.95,COMPLETED
445,00100446H,2.95,COMPLETED
446,00100447I,2.85,COMPLETED
447,00100448J,2.8,COMPLETED
448,00100449K,2.9,COMPLETED
449,00100450L,2.25,COMPLETED
450,00100451M,2.25,COMPLETED
451,00100452N,2.25,COMPLETED
452,00100453O,2.2,COMPLETED
453,00100454P,2.3,COMPLETED
454,00100455Q,2.15,COMPLETED
455,00100456R,2.3,COMPLETED
456,00100457S,2.3,COMPLETED
457,00100458T,2.25,COMPLETED
458,00100459U,2.15,COMPLETED
459,00100460V,2.3,COMPLETED
460,00100461W,2.2,COMPLETED
461,00100462X,2.25,COMPLETED
462,00100463Y,2.5,COMPLETED
463,00100464Z,2.3,COMPLETED
464,00100465A,2.35,COMPLETED
465,00100466B,2.5,COMPLETED
466,00100467C,2.3,COMPLETED
467,00100468D,2.2,COMPLETED
468,00100469E,2.25,COMPLETED
469,00100470F,2.35,COMPLETED
470,00100471G,2.3,COMPLETED
471,00100472H,2.35,COMPLETED
472,00100473I,2.35,COMPLETED
473,00100474J,2.25,COMPLETED
474,00100475K,2.15,COMPLETED
475,00100476L,2.3,COMPLETED
476,00100477M,2.3,COMPLETED
477,00100478N,2.3,COMPLETED
478,00100479O,2.35,COMPLETED
479,00100480P,2.3,COMPLETED
480,00100481Q,2.35,COMPLETED
481,00100482R,3.25,COMPLETED
482,00100483S,3.3,COMPLETED
483,00100484T,2.45,COMPLETED
484,00100485U,2.5,COMPLETED
485,00100486V,2.45,COMPLETED
486,00100487W,2.4,COMPLETED
487,00100488X,2.4,COMPLETED
488,00100489Y,2.45,COMPLETED
489,00100490Z,2.25,COMPLETED
490,00100491A,2.3,COMPLETED
491,00100492B,2.35,COMPLETED
492,00100493C,3.0,COMPLETED
493,00100494D,2.45,COMPLETED
494,00100495E,2.85,COMPLETED
495,00100496F,2.35,COMPLETED
496,00100497G,2.35,COMPLETED
497,00100498H,2.35,COMPLETED
498,00100499I,2.4,COMPLETED
499,00100500J,2.35,COMPLETED
500,00100501K,2.5,COMPLETED
501,00100502L,2.45,COMPLETED
502,00100503M,2.3,COMPLETED
503,00100504N,3.0,COMPLETED
504,00100505O,2.3,COMPLETED
505,00100506P,2.45,COMPLETED
506,00100507Q,2.7,COMPLETED
507,00100508R,2.75,COMPLETED
508,00100509S,2.75,COMPLETED
509,00100510T,2.7,COMPLETED
510,00100511U,2.85,COMPLETED
511,00100512V,2.85,COMPLETED
512,00100513W,2.9,COMPLETED
513,00100514X,2.8,COMPLETED
514,00100515Y,2.75,COMPLETED
515,00100516Z,2.8,COMPLETED
516,00100517A,2.95,COMPLETED
517,00100518B,2.9,COMPLETED
518,00100519C,3.2,COMPLETED
519,00100520D,2.9,COMPLETED
520,00100521E,2.7,COMPLETED
521,00100522F,2.8,COMPLETED
522,00100523G,2.9,COMPLETED
523,00100524H,2.75,COMPLETED
524,00100525I,3.0,COMPLETED
525,00100526J,2.85,COMPLETED
526,00100527K,3.1,COMPLETED
527,00100528L,2.8,COMPLETED
528,00100529M,2.85,COMPLETED
529,00100530N,2.7,COMPLETED
530,00100531O,2.85,COMPLETED
531,00100532P,2.9,COMPLETED
532,00100533Q,2.9,COMPLETED
533,00100534R,2.9,COMPLETED
534,00100535S,2.95,COMPLETED
535,00100536T,2.75,COMPLETED
536,00100537U,3.05,COMPLETED
537,00100538V,3.1,COMPLETED
538,00100539W,3.0,COMPLETED
539,00100540X,2.8,COMPLETED
540,00100541Y,3.0,COMPLETED
541,00100542Z,2.9,COMPLETED
542,00100543A,3.1,COMPLETED
543,00100544B,3.35,COMPLETED
544,00100545C,2.95,COMPLETED
545,00100546D,2.8,COMPLETED
546,00100547E,2.8,COMPLETED
547,00100548F,2.8,COMPLETED
548,00100549G,2.7,COMPLETED
549,00100550H,2.9,COMPLETED
550,00100551I,2.85,COMPLETED
551,00100552J,3.05,COMPLETED
552,00100553K,2.9,COMPLETED
553,00100554L,2.8,COMPLETED
554,00100555M,3.0,COMPLETED
555,00100556N,2.6,COMPLETED
556,00100557O,2.6,COMPLETED
557,00100558P,3.1,COMPLETED
558,00100559Q,2.6,COMPLETED
559,00100560R,2.7,COMPLETED
560,00100561S,2.6,COMPLETED
561,00100562T,3.4,COMPLETED
562,00100563U,2.55,COMPLETED
563,00100564V,2.3,COMPLETED
564,00100565W,2.7,COMPLETED
565,00100566X,2.6,COMPLETED
566,00100567Y,3.0,COMPLETED
567,00100568Z,3.0,COMPLETED
568,00100569A,2.6,COMPLETED
569,00100570B,2.6,COMPLETED
570,00100571C,2.6,COMPLETED
571,00100572D,2.7,COMPLETED
572,00100573E,2.55,COMPLETED
573,00100574F,2.35,COMPLETED
574,00100575G,2.9,COMPLETED
575,00100576H,2.6,COMPLETED
576,00100577I,2.55,COMPLETED
577,00100578J,2.6,COMPLETED
578,00100579K,2.55,COMPLETED
579,00100580L,2.6,COMPLETED
580,00100581M,2.65,COMPLETED
581,00100582N,2.6,COMPLETED
582,00100583O,2.7,COMPLETED
583,00100584P,2.6,COMPLETED
584,00100585Q,2.7,COMPLETED
585,00100586R,2.6,COMPLETED
586,00100587S,2.7,COMPLETED
587,00100588T,2.6,COMPLETED
588,00100589U,2.6,COMPLETED
589,00100590V,3.25,COMPLETED
590,00100591W,2.75,COMPLETED
591,00100592X,2.6,COMPLETED
592,00100593Y,2.95,COMPLETED
593,00100594Z,2.55,COMPLETED
594,00100595A,2.55,COMPLETED
595,00100596B,3.15,COMPLETED
596,00100597C,2.55,COMPLETED
597,00100598D,3.4,COMPLETED
598,00100599E,2.9,COMPLETED
599,00100600F,2.7,COMPLETED
600,00100601G,2.6,COMPLETED
601,00100602H,3.05,COMPLETED
602,00100603I,3.15,COMPLETED
603,00100604J,3.1,COMPLETED
604,00100605K,2.8,COMPLETED
605,00100606L,2.8,COMPLETED
606,00100607M,2.85,COMPLETED
607,00100608N,2.75,COMPLETED
608,00100609O,2.85,COMPLETED
609,00100610P,2.8,COMPLETED
610,00100611Q,3.55,COMPLETED
611,00100612R,2.85,COMPLETED
612,00100613S,2.8,COMPLETED
613,00100614T,3.05,COMPLETED
614,00100615U,2.9,COMPLETED
615,00100616V,2.75,COMPLETED
616,00100617W,2.7,COMPLETED
617,00100618X,3.05,COMPLETED
618,00100619Y,2.75,COMPLETED
619,00100620Z,2.85,COMPLETED
620,00100621A,2.85,COMPLETED
621,00100622B,3.65,COMPLETED
622,00100623C,2.95,COMPLETED
623,00100624D,2.95,COMPLETED
624,00100625E,3.45,COMPLETED
625,00100626F,3.05,COMPLETED
626,00100627G,2.85,COMPLETED
627,00100628H,2.8,COMPLETED
628,00100629I,3.0,COMPLETED
629,00100630J,2.65,COMPLETED
630,00100631K,3.0,COMPLETED
631,00100632L,2.95,COMPLETED
632,00100633M,2.8,COMPLETED
633,00100634N,3.05,COMPLETED
634,00100635O,2.85,COMPLETED
635,00100636P,2.9,COMPLETED
636,00100637Q,2.8,COMPLETED
637,00100638R,2.8,COMPLETED
638,00100639S,2.75,COMPLETED
639,00100640T,3.05,COMPLETED
640,00100641U,3.45,COMPLETED
641,00100642V,3.0,COMPLETED
642,00100643W,3.6,COMPLETED
643,00100644X,2.75,COMPLETED
644,00100645Y,2.75,COMPLETED
645,00100646Z,2.45,COMPLETED
646,00100647A,2.75,COMPLETED
647,00100648B,2.7,COMPLETED
648,00100649C,3.2,COMPLETED
649,00100650D,2.8,COMPLETED
650,00100651E,2.95,COMPLETED
651,00100652F,2.7,COMPLETED
652,00100653G,3.3,COMPLETED
653,00100654H,2.8,COMPLETED
654,00100655I,2.85,COMPLETED
655,00100656J,3.2,COMPLETED
656,00100657K,2.9,COMPLETED
657,00100658L,2.95,COMPLETED
658,00100659M,2.8,COMPLETED
659,00100660N,2.85,COMPLETED
660,00100661O,2.9,COMPLETED
661,00100662P,3.2,COMPLETED
662,00100663Q,3.5,COMPLETED
663,00100664R,2.75,COMPLETED
664,00100665S,3.15,COMPLETED
665,00100666T,2.75,COMPLETED
666,00100667U,3.15,COMPLETED
667,00100668V,2.8,COMPLETED
668,00100669W,2.65,COMPLETED
669,00100670X,2.8,COMPLETED
670,00100671Y,2.75,COMPLETED
671,00100672Z,3.05,COMPLETED
672,00100673A,3.05,COMPLETED
673,00100674B,3.1,COMPLETED
674,00100675C,2.9,COMPLETED
675,00100676D,2.75,COMPLETED
676,00100677E,2.7,COMPLETED
677,00100678F,3.0,COMPLETED
678,00100679G,2.75,COMPLETED
679,00100680H,2.7,COMPLETED
680,00100681I,2.6,COMPLETED
681,00100682J,2.85,COMPLETED
682,00100683K,2.5,COMPLETED
683,00100684L,2.75,COMPLETED
684,00100685M,3.1,COMPLETED
685,00100686N,2.7,COMPLETED
686,00100687O,2.55,COMPLETED
687,00100688P,2.95,COMPLETED
688,00100689Q,2.8,COMPLETED
689,00100690R,3.2,COMPLETED
690,00100691S,3.15,COMPLETED
691,00100692T,2.85,COMPLETED
692,00100693U,3.4,COMPLETED
693,00100694V,3.15,COMPLETED
694,00100695W,2.9,COMPLETED
695,00100696X,2.8,COMPLETED
696,00100697Y,3.0,COMPLETED
697,00100698Z,2.9,COMPLETED
698,00100699A,2.6,COMPLETED
699,00100700B,2.55,COMPLETED
700,00100701C,3.0,COMPLETED
701,00100702D,2.9,COMPLETED
702,00100703E,2.8,COMPLETED
703,00100704F,2.7,COMPLETED
704,00100705G,2.75,COMPLETED
705,00100706H,2.55,COMPLETED
706,00100707I,2.45,COMPLETED
707,00100708J,2.1,COMPLETED
708,00100709K,2.15,COMPLETED
709,00100710L,1.9,COMPLETED
710,00100711M,2.0,COMPLETED
711,00100712N,2.45,COMPLETED
712,00100713O,2.0,COMPLETED
713,00100714P,2.3,COMPLETED
714,00100715Q,2.15,COMPLETED
715,00100716R,2.15,COMPLETED
716,00100717S,1.95,COMPLETED
717,00100718T,1.9,COMPLETED
718,00100719U,2.45,COMPLETED
719,00100720V,2.8,COMPLETED
720,00100721W,2.7,COMPLETED
721,00100722X,1.95,COMPLETED
722,00100723Y,2.2,COMPLETED
723,00100724Z,2.2,COMPLETED
724,00100725A,2.25,COMPLETED
725,00100726B,1.95,COMPLETED
726,00100727C,2.8,COMPLETED
727,00100728D,2.0,COMPLETED
728,00100729E,1.9,COMPLETED
729,00100730F,2.6,COMPLETED
730,00100731G,2.2,COMPLETED
731,00100732H,2.2,COMPLETED
732,00100733I,2.1,COMPLETED
733,00100734J,2.25,COMPLETED
734,00100735K,2.55,COMPLETED
735,00100736L,1.95,COMPLETED
736,00100737M,2.45,COMPLETED
737,00100738N,1.95,COMPLETED
738,00100739O,2.2,COMPLETED
739,00100740P,2.0,COMPLETED
740,00100741Q,1.9,COMPLETED
741,00100742R,2.05,COMPLETED
742,00100743S,1.9,COMPLETED
743,00100744T,2.2,COMPLETED
744,00100745U,2.05,COMPLETED
745,00100746V,2.3,COMPLETED
746,00100747W,2.3,COMPLETED
747,00100748X,2.1,COMPLETED
748,00100749Y,1.9,COMPLETED
749,00100750Z,,ABSENT2
750,00100751A,1.9,COMPLETED
751,00100752B,2.0,COMPLETED
752,00100753C,2.4,COMPLETED
753,00100754D,1.9,COMPLETED
754,00100755E,3.05,COMPLETED
755,00100756F,3.4,COMPLETED
756,00100757G,2.8,COMPLETED
757,00100758H,2.85,COMPLETED
758,00100759I,2.8,COMPLETED
759,00100760J,2.95,COMPLETED
760,00100761K,3.0,COMPLETED
761,00100762L,2.95,COMPLETED
762,00100763M,3.1,COMPLETED
763,00100764N,2.8,COMPLETED
764,00100765O,2.85,COMPLETED
765,00100766P,2.8,COMPLETED
766,00100767Q,2.75,COMPLETED
767,00100768R,2.7,COMPLETED
768,00100769S,2.8,COMPLETED
769,00100770T,3.05,COMPLETED
770,00100771U,2.8,COMPLETED
771,00100772V,3.05,COMPLETED
